,Restaurant,Cusines_all,price_for_one,Rating,delivery_review_number,location,Longitude,Latitude
26802,WOW! China, Desserts,300,3.9,719,Church Street,77.6026774,12.9755105
26803,WOW! China, Desserts,300,4.1,300,Orion Mall,77.564105,13.0393922
26804,WOW! China, Desserts,300,3.8,377,Forum Neighbourhood Mall,77.64825296,12.8487599
26805,Cream & Fudge, Shake,150,3.9,898,Nagawara,77.6209093,13.0431413
26806,Cream & Fudge, Shake,150,3.4,361,KR Puram,77.695935,13.007516
26824,Alpha Biryani, North Indian,200,3.8,1159,Whitefield,77.7497448,12.9696365
26825,Biryani Trip - Destination Hyderabad, Andhra,300,4.2,2429,Koramangala 6th Block,77.6238477,12.9390255
26826,Biryani Trip - Destination Hyderabad, Andhra,300,4.3,1182,Electronic City,77.64825296,12.8487599
26827,Biryani Trip - Destination Hyderabad, Andhra,300,4.1,7557,Bannerghatta Road,77.6041899,12.9521804
26828,Biryani Trip - Destination Hyderabad, Andhra,300,4.1,98,Hebbal,77.5919,13.0382184
26829,Biryani Trip - Destination Hyderabad, Andhra,300,4.0,2728,Sarjapur Road,77.6653284,12.920441
26830,Biryani Trip - Destination Hyderabad, Andhra,300,4.2,2043,JP Nagar,77.5782713,12.9072515
26831,Biryani Trip - Destination Hyderabad, Andhra,300,4.0,5734,HSR,77.6398674,12.9092342
26832,Biryani Trip - Destination Hyderabad, Andhra,300,3.9,2392,ITPL Main Road,77.7272748,12.9805104
26833,Biryani Trip - Destination Hyderabad, Andhra,300,4.2,14100,Jeevan Bhima Nagar,77.6568367,12.9678074
26834,Biryani Trip - Destination Hyderabad, Andhra,300,4.2,1933,Banashankari,77.59445195,12.96528325
26835,Biryani Trip - Destination Hyderabad, Andhra,300,4.3,298,Marathahalli,77.6984163,12.9552572
26836,Biryani Trip - Destination Hyderabad, Andhra,300,4.2,1029,Bellandur,77.6782471,12.93103185
26837,Biryani Trip - Destination Hyderabad, Andhra,300,4.2,1879,Basaveshwara Nagar,77.5394749,12.9931607
26838,Biryani Trip - Destination Hyderabad, Andhra,300,4.1,2110,Banaswadi,77.6518539,13.0141618
26839,Biryani Trip - Destination Hyderabad, Andhra,300,4.0,131,Seshadripuram,77.5753419,12.9931876
26840,Biryani Trip - Destination Hyderabad, Andhra,300,4.2,1043,Frazer Town,77.6130165,12.996845
26841,Biryani Trip - Destination Hyderabad, Andhra,300,4.3,131,Jayanagar,77.5824229,12.9292731
26846,Dwaraka Grand, Shake,200,4.1,8525,Kumaraswamy Layout,77.5553179,12.9081487
26864,Blue Tokai Coffee Roasters, Beverages,300,4.2,758,Koramangala 8th Block,77.617338,12.9408685
26865,Blue Tokai Coffee Roasters, Beverages,300,4.1,542,Indiranagar,77.6404672,12.9732913
26866,Blue Tokai Coffee Roasters, Beverages,300,3.9,303,VR Bengaluru,77.695743,12.9964417
26867,Blue Tokai Coffee Roasters, Beverages,300,4.3,168,Infantry Road,77.5961802,12.9830857
26868,Blue Tokai Coffee Roasters, Beverages,300,4.3,176,HSR,77.6398674,12.9092342
26869,Blue Tokai Coffee Roasters, Beverages,300,4.0,38,JP Nagar,77.5782713,12.9072515
26870,Food Springs, Sichuan,250,4.1,1095,Jayanagar,77.5824229,12.9292731
26871,The Good Food Restaurant, Andhra,200,3.8,251,Kalyan Nagar,77.6403368,13.0221416
26872,BOX8 - Desi Meals, Biryani,250,4.0,13500,Rajajinagar,77.554883,12.9882338
26873,BOX8 - Desi Meals, Biryani,250,4.1,27900,Old Airport Road,77.6663946,12.9583828
26874,BOX8 - Desi Meals, Biryani,250,4.2,9604,Whitefield,77.7497448,12.9696365
26875,BOX8 - Desi Meals, Biryani,250,4.0,9404,Marathahalli,77.6984163,12.9552572
26876,BOX8 - Desi Meals, Biryani,250,4.2,16900,Indiranagar,77.6404672,12.9732913
26877,BOX8 - Desi Meals, Biryani,250,4.2,80,Electronic City,77.64825296,12.8487599
26878,BOX8 - Desi Meals, Biryani,250,4.2,576,City Market,77.57627054,12.965718
26879,BOX8 - Desi Meals, Biryani,250,4.1,12100,Banashankari,77.59445195,12.96528325
26880,BOX8 - Desi Meals, Biryani,250,4.3,516,Shanti Nagar,77.5979099,12.9575547
26881,BOX8 - Desi Meals, Biryani,250,4.2,9558,Bellandur,77.6782471,12.93103185
26882,BOX8 - Desi Meals, Biryani,250,4.1,12700,Sarjapur Road,77.6653284,12.920441
26883,BOX8 - Desi Meals, Biryani,250,4.3,7709,Jayanagar,77.5824229,12.9292731
26884,BOX8 - Desi Meals, Biryani,250,4.3,19300,BTM,77.60456543,12.91127585
26885,BOX8 - Desi Meals, Biryani,250,4.1,22300,HSR,77.6398674,12.9092342
26886,BOX8 - Desi Meals, Biryani,250,4.3,12100,New BEL Road,77.564105,13.0393922
26887,BOX8 - Desi Meals, Biryani,250,4.2,13500,Kammanahalli,77.6377094,13.0093455
26888,BOX8 - Desi Meals, Biryani,250,4.2,1109,Ulsoor,77.6246697,12.9778793
26889,BOX8 - Desi Meals, Biryani,250,4.3,763,Seshadripuram,77.5753419,12.9931876
26890,BOX8 - Desi Meals, Biryani,250,4.2,20600,Koramangala 6th Block,77.6238477,12.9390255
26891,BOX8 - Desi Meals, Biryani,250,4.3,21100,Bannerghatta Road,77.6041899,12.9521804
26892,Empire Juices And Ice Creams, Ice Cream,100,2.9,176,Shivajinagar,77.6075416,12.986391
