,Restaurant,Cusines_all,price_for_one,delivery_review_number,location
244220,Shanthi Sagar, Sandwich,150,23100,"jp nagar, bangalore"
244222,Shanthi Sagar, Sandwich,200,23100,"jp nagar, bangalore"
244223,Shanthi Sagar, Sandwich,100,23100,"jp nagar, bangalore"
244224,Shanthi Sagar, Sandwich,175,23100,"jp nagar, bangalore"
244308,Indiana Seasons,,300,766,"brookefield, bangalore"
244325,Roll Master,,100,12,"shivajinagar, bangalore"
244328,Upahara Bhavan,,150,5623,"bannerghatta road, bangalore"
244329,Dhivyam Pure Veg, Beverages,200,118,"kanakapura road, bangalore"
244349,Flavoured, Thai,200,202,"kammanahalli, bangalore"
244466,Shiro,,1500,452,"ub city, bangalore"
244570,Chick Baik, Pasta,250,3028,"kammanahalli, bangalore"
244796,Calicut Cafe Restaurant, Beverages,200,11200,"btm, bangalore"
244853,Kairali Restaurant, Beverages,200,7591,"bellandur, bangalore"
244903,Imperio Restaurant, North Indian,150,3349,"electronic city, bangalore"
244907,Imperio Restaurant, North Indian,400,3349,"electronic city, bangalore"
244912,The Sandwich Station, Shake,200,4165,"whitefield, bangalore"
244928,Falahaar & Kota Kachori, Desserts,100,3099,"electronic city, bangalore"
244931,Falahaar & Kota Kachori, Desserts,200,3099,"electronic city, bangalore"
244933,Falahaar & Kota Kachori, Desserts,150,3099,"electronic city, bangalore"
244934,HBH Hyderabadi Biryani House,,250,2234,"bommasandra, bangalore"
244935,Lassi Parlour,,75,1114,"electronic city, bangalore"
245135,Pot Biryani, Hyderabadi,200,734,"nagawara, bangalore"
245136,Pot Biryani, Hyderabadi,225,734,"nagawara, bangalore"
245166,Zaatar Bengaluru, Mughlai,500,1098,"bellandur, bangalore"
245266,Mamma Rotti Family Restaurant, Sichuan,250,80,"jalahalli, bangalore"
245390,New Uncle Kitchen, Sichuan,300,25600,"jalahalli, bangalore"
245413,Gawky Goose, Beverages,750,477,"old airport road, bangalore"
245415,Tasty Food, Fast Food,200,435,"yeshwantpur, bangalore"
245446,Mann Food Court,,200,425,"itpl main road, whitefield, bangalore"
245468,Sanky's Burger House,,150,3115,"hennur, bangalore"
245478,Sai Cafe Veg,,150,6585,"malleshwaram, bangalore"
245517,Om Meals & Paratha Junction,,50,7544,"new bel road, bangalore"
245518,Om Meals & Paratha Junction,,100,7544,"new bel road, bangalore"
245536,Biryanis,,300,871,"hsr, bangalore"
245545,Sandwich Junction, Ice Cream,100,112,"marathahalli, bangalore"
245546,Sandwich Junction, Ice Cream,200,112,"marathahalli, bangalore"
245557,Spicy Restaurant,,250,20,"btm, bangalore"
245561,Carnival de Goa, Beverages,500,345,"ulsoor, bangalore"
245593,The Blue Bawarchi Restaurant, Sichuan,100,431,"indiranagar, bangalore"
245595,The Hole In The Wall Cafe,,300,5321,"koramangala 4th block, bangalore"
245596,The Hole In The Wall Cafe,,200,5321,"koramangala 4th block, bangalore"
245597,Pizza Sandwich Burger & More, Beverages,150,245,"banashankari, bangalore"
245636,Just Bite, Juices,100,157,"nagarbhavi, bangalore"
245692,Dolci Desserts, Shake,350,480,"cunningham road, bangalore"
245731,Thela Tapri, Beverages,125,141,"btm, bangalore"
245732,Stop N Joy,,150,380,"vijay nagar, bangalore"
245733,Stop N Joy,,100,380,"vijay nagar, bangalore"
245779,Ramdev Sagar, Ice Cream,250,10500,"brookefield, bangalore"
245780,China Bistro, Beverages,800,1081,"indiranagar, bangalore"
245818,Valluvan Cafe, Fast Food,300,306,"whitefield, bangalore"
245843,Savoury Restaurant, Beverages,400,18900,"btm, bangalore"
245846,Savoury Restaurant, Beverages,450,18900,"btm, bangalore"
245849,Salt Mango Tree, Beverages,600,1341,"indiranagar, bangalore"
245854,Guntur Spice,,500,1059,"jp nagar, bangalore"
245899,Aromas Of Biryani, Seafood,400,8520,"sarjapur road, bangalore"
245976,Asha Food Camp, Ice Cream,300,1044,"rajajinagar, bangalore"
245988,Coffee Bites Cafe, Pizza,100,21,"jayanagar, bangalore"
246029,Brahma Brews, European,1100,1002,"jp nagar, bangalore"
246045,Malabar Junction Restaurant, Sichuan,150,199,"kalyan nagar, bangalore"
246046,Savoury Restaurant, Biryani,400,18900,"btm, bangalore"
246049,Savoury Restaurant, Biryani,450,18900,"btm, bangalore"
246225,Momo Singh, Sichuan,225,285,"whitefield, bangalore"
246263,Shawarma Grill House, Sichuan,250,3938,"rajajinagar, bangalore"
246290,Qissa, Beverages,750,773,"indiranagar, bangalore"
246306,Elite Kerala Mess, Seafood,150,5283,"bannerghatta road, bangalore"
246334,Santrupti Biriyani Mane,,200,129,"whitefield, bangalore"
246467,New Tandoor, Seafood,200,7329,"cv raman nagar, bangalore"
246526,Mudpipe Cafe, Beverages,350,218,"btm, bangalore"
246527,Nasi and Mee,,450,458,"brookefield, bangalore"
246532,Surabhi Hut,,150,180,"whitefield, bangalore"
246538,Raj Mess, Beverages,125,1786,"rajarajeshwari nagar, bangalore"
246687,The Food Corner, Rolls,200,501,"vasanth nagar, bangalore"
246696,Sri Krishna Aramane, Desserts,225,26200,"kumaraswamy layout, bangalore"
246703,Ice Fort,,150,783,"basaveshwara nagar, bangalore"
246749,Chef Master, Chinese,150,4093,"jayanagar, bangalore"
246750,Odia Khaiba,,200,1090,"old airport road, bangalore"
246805,Coastal Mama, Desserts,350,3780,"jp nagar, bangalore"
246841,Dhaba Runner, Beverages,150,627,"hsr, bangalore"
246890,Al Daaz, Beverages,500,75000,"hsr, bangalore"
246896,Hyderabadi Biriyani House,,200,172,"electronic city, bangalore"
246930,Beijing Bites, Beverages,400,12100,"electronic city, bangalore"
246939,Beijing Bites, Beverages,250,12100,"electronic city, bangalore"
246975,Mahesh Lunch Home, Desserts,700,553,"indiranagar, bangalore"
246987,Sri Bhagya Veg, Beverages,150,5065,"bommanahalli, bangalore"
247038,Koramangala Social, Pizza,750,1747,"koramangala 7th block, bangalore"
247076,Great Indian Food,,150,8,"marathahalli, bangalore"
247187,The Gourmet Kitchen & Bar- Hotel Ramanashree, Desserts,600,41,"hotel ramanashree, bangalore"
247194,Deewar Family Restaurant and Bar, Sichuan,550,689,"vijay nagar, bangalore"
247196,C Corner, Beverages,100,1042,"kumaraswamy layout, bangalore"
247271,Namana Garden, Ice Cream,150,738,"bannerghatta road, bangalore"
247272,Arabian Hot Spot,,600,1419,"kalyan nagar, bangalore"
247282,Al Taj, Biryani,150,73,"btm, bangalore"
247340,Rajwadi, Desserts,250,10000,"brookefield, bangalore"
247415,The Hotel Nalanda, Sichuan,300,1522,"bommasandra, bangalore"
247460,Ice Thunder, Street Food,250,2015,"basavanagudi, bangalore"
247491,Vishnu Garden, Ice Cream,200,8562,"rt nagar, bangalore"
247583,Grilled  And Tandoori House,,250,36,"btm, bangalore"
247584,Boba Tree, Fast Food,400,387,"indiranagar, bangalore"
247594,The Thickshake factory,,225,1092,"hsr, bangalore"
247621,ITC Master Chef Creations, Modern Indian,350,107,"banashankari, bangalore"
247687,Chicken County Restaurant,,300,2383,"bommanahalli, bangalore"
247688,Chicken County Restaurant,,400,2383,"bommanahalli, bangalore"
247701,Pot Taste,,150,1093,"jalahalli, bangalore"
247775,Mannat Biryani, Sichuan,250,17,"electronic city, bangalore"
247848,Raidan Restaurant,,400,1455,"kammanahalli, bangalore"
247849,Raidan Restaurant,,250,1455,"kammanahalli, bangalore"
247865,The Mangalorean, Beverages,400,2155,"kammanahalli, bangalore"
247949,Udupi Mane Thindi, Beverages,200,3300,"rammurthy nagar, bangalore"
247958,Tandoor Studio, Beverages,150,58,"electronic city, bangalore"
247984,Lahab Mandi & BBQ, North Indian,400,343,"kalyan nagar, bangalore"
247985,Ajwa Tasty, Shake,100,0,"kammanahalli, bangalore"
248064,Great Moments - Hotel Bangalore International, Seafood,550,24,"hotel bangalore international, bangalore"
248067,Wow Manglore Multi Cuisine Restaurant,,150,1380,"bommasandra, bangalore"
248111,Kundana, Biryani,450,36100,"bannerghatta road, bangalore"
248112,Cafe Spark, Desserts,125,43,"koramangala 2nd block, bangalore"
248159,Scoopy Doo,,150,670,"electronic city, bangalore"
248178,Mane Ruchi's Palate Restaurant, Desserts,350,2789,"nagarbhavi, bangalore"
248206,Copper Kitchen, North Indian,500,1512,"hsr, bangalore"
248241,Jenis Restaurant, Shake,175,670,"bommanahalli, bangalore"
248290,Q3 Food Corner, Rolls,500,2448,"new bel road, bangalore"
248305,Sagar, Desserts,400,7872,"seshadripuram, bangalore"
248353,Upahara Darshini,,200,1972,"jayanagar, bangalore"
248356,Upahara Darshini,,350,1972,"jayanagar, bangalore"
248377,Meghana Biriyani Paradise, Desserts,200,0,"hsr, bangalore"
248381,Akshara,,350,2686,"bommasandra, bangalore"
248508,Nisarga Garden, Ice Cream,350,1689,"basavanagudi, bangalore"
248509,Cool Junction,,175,3624,"nagarbhavi, bangalore"
248528,Sagar Fast Food, Shake,150,9202,"koramangala 8th block, bangalore"
248578,The Spice Studio, Kebab,300,1957,"whitefield, bangalore"
248609,Urbanmirchy,,150,1487,"brookefield, bangalore"
248632,Connie's Restaurant & Steakhouse, Desserts,750,4323,"kammanahalli, bangalore"
248647,Altaf Chillies Restaurant,,150,7943,"frazer town, bangalore"
248750,The Spice Bazaar,,500,7,"hotel southern star, lavelle road, bangalore"
248781,Durga Shree Samruddhi Grand, Shake,250,340,"nagawara, bangalore"
248977,Shree Muthahalli Veg, Shake,225,29700,"hsr, bangalore"
249003,Polamma's Mess,,150,2077,"btm, bangalore"
249070,Karachi Bakery, Desserts,250,625,"kalyan nagar, bangalore"
249073,Tikka Kebab Express,,275,373,"bommanahalli, bangalore"
249259,Sea Rock,,500,754,"seshadripuram, bangalore"
249260,Chakh Le Foods,,400,5750,"jeevan bhima nagar, bangalore"
249318,HSR High Street, Desserts,400,9681,"hsr, bangalore"
249352,Biryani And  Bowls, Desserts,200,164,"new bel road, bangalore"
249353,BOX8 - Desi Meals,,250,13500,"rajajinagar, bangalore"
249373,Udupi Swada, Ice Cream,200,2600,"kumaraswamy layout, bangalore"
249374,Hopshaus, Sichuan,900,261,"whitefield, bangalore"
249407,Aroma's Hyderabad House, Beverages,400,10200,"kalyan nagar, bangalore"
249410,Swathi Greenland, Mughlai,400,1550,"vijay nagar, bangalore"
249423,Mothers Kitchen, Fast Food,100,5,"kammanahalli, bangalore"
249424,Shawarma Indiah,,150,22,"indiranagar, bangalore"
249426,E2P Italian Pizza & Burger, Desserts,250,1207,"basaveshwara nagar, bangalore"
249441,Punjabi Swag,,500,15500,"btm, bangalore"
249463,Once Upon A Flame, Shake,750,2692,"hsr, bangalore"
249464,Upahara Darshini Kims Canteen,,50,87,"city market, bangalore"
249465,Jumbo Sandwich,,200,969,"btm, bangalore"
249535,Kerala Ithaa's,,150,444,"hsr, bangalore"
249571,Akshaya Family Restaurant,,225,889,"kalyan nagar, bangalore"
249575,Flo, Desserts,800,8,"church street, bangalore"
249602,Eden Park, South Indian,550,484,"cunningham road, bangalore"
249674,Mayuri, Desserts,500,1905,"jp nagar, bangalore"
249686,AL Bain Restaurant, Beverages,400,1580,"kammanahalli, bangalore"
249772,Malabar Cafe, Sichuan,200,1416,"koramangala 7th block, bangalore"
249773,Malabar Cafe, Sichuan,150,1416,"koramangala 7th block, bangalore"
249881,Mumbai Xpress,,200,1256,"basavanagudi, bangalore"
249882,Mumbai Xpress,,175,1256,"basavanagudi, bangalore"
249896,Hatch, Continental,600,969,"malleshwaram, bangalore"
249902,Lulu's Family Restaurant, Shake,200,5882,"kr puram, bangalore"
249961,Niyu,,200,1624,"jp nagar, bangalore"
249971,Srinidhi Signature, Beverages,600,1209,"itpl main road, whitefield, bangalore"
250061,Kasipu,,650,118,"jalahalli, bangalore"
250117,The Kings Of Burger,,150,115,"jalahalli, bangalore"
250126,Sannidhi Grand,,200,6249,"kammanahalli, bangalore"
250127,Cafe Indulge, Street Food,250,13,"bannerghatta road, bangalore"
250180,Kapital Kitchen, Kebab,200,31,"whitefield, bangalore"
250181,Kapital Kitchen, Kebab,350,31,"whitefield, bangalore"
250182,House Of Mughals, Desserts,250,4,"brookefield, bangalore"
250185,Lakeview Milkbar, Shake,250,894,"mg road, bangalore"
250187,Lakeview Milkbar, Shake,200,894,"mg road, bangalore"
250200,Arusha Grandeur Veg & Non Veg, Andhra,275,6,"banaswadi, bangalore"
250210,Atithi Satkaar, Beverages,300,259,"city market, bangalore"
250286,The Engineer's Dhaba, Juices,350,615,"kadubeesanahalli, bangalore"
250315,Calicut Restaurant,,250,7479,"yeshwantpur, bangalore"
250451,Bengali Khabar,,200,488,"old airport road, bangalore"
250497,Gharwala Zaika, Beverages,100,50,"electronic city, bangalore"
250619,Grand Desi Paratha, Shake,200,452,"rajarajeshwari nagar, bangalore"
250628,Express Punjabi Dhaba,,200,95,"electronic city, bangalore"
250660,Bamboo Restaurant, Beverages,350,1562,"kalyan nagar, bangalore"
250661,The Rasoiya Street, Beverages,450,6619,"electronic city, bangalore"
250700,Nanda's,,350,3197,"hsr, bangalore"
250739,Maedah, Beverages,150,1805,"koramangala 8th block, bangalore"
250740,Sandos 'n Grills, Pasta,250,643,"kalyan nagar, bangalore"
250788,Zahra's Kitchen, Hyderabadi,100,809,"frazer town, bangalore"
250888,Malnad Halli Mane,,150,745,"rammurthy nagar, bangalore"
250890,Mayura Sagar, Shake,200,1208,"brookefield, bangalore"
250927,Savitha Family Restaurant, Beverages,250,20700,"koramangala 4th block, bangalore"
250956,The Druid Garden, Beverages,850,4655,"sahakara nagar, bangalore"
250957,New Udupi Upahar, Shake,100,65,"bommanahalli, bangalore"
250958,New Udupi Upahar, Shake,150,65,"bommanahalli, bangalore"
250960,New Udupi Upahar, Shake,200,65,"bommanahalli, bangalore"
250988,Mitti Cafe,,100,480,"peenya, bangalore"
250989,Mitti Cafe,,250,480,"peenya, bangalore"
251076,Sitara Veg, Juices,200,31400,"electronic city, bangalore"
251107,Amogha Sagar Grand,,150,256,"basaveshwara nagar, bangalore"
251308,Mumbai Xpress, Shake,200,1256,"basavanagudi, bangalore"
251309,Mumbai Xpress, Shake,175,1256,"basavanagudi, bangalore"
251322,Mayura 1989 Andhra Speciality Restaurant, Beverages,400,387,"rajajinagar, bangalore"
251369,Taste Of Coast, Kebab,350,209,"sanjay nagar, bangalore"
251382,Nirula's, Momos,250,41,"hbr layout, bangalore"
251395,New Samrat Restaurant, Beverages,250,360,"seshadripuram, bangalore"
251453,Combo Plate,,150,390,"bommanahalli, bangalore"
251454,Lalbagh Grand, Desserts,250,3714,"basavanagudi, bangalore"
251531,Tandoor And Spice,,500,3469,"jp nagar, bangalore"
251566,The Carnival House, Bakery,200,7,"ejipura, bangalore"
251567,Ankur Restaurant,,100,1,"kr puram, bangalore"
251588,The Foody Station,,150,466,"whitefield, bangalore"
251589,M.M Restaurant,,200,12800,"hsr, bangalore"
251757,Chat Bandi, Fast Food,150,92,"jayanagar, bangalore"
251758,Bengal Sweet And Restaurant, Street Food,175,54,"whitefield, bangalore"
251759,The Pizza Bakery - All Day Eatery, Beverages,350,2733,"rmz ecoworld, bellandur, bangalore"
251774,Break Time Restaurant, Beverages,400,329,"marathahalli, bangalore"
251794,Late Night,,300,2627,"btm, bangalore"
251842,Desi Tadaka Inn,,150,138,"electronic city, bangalore"
251868,Burger G Point,,100,126,"jalahalli, bangalore"
251869,Zak Foods, Fast Food,150,0,"kammanahalli, bangalore"
251873,Hotel New Panchavati, BBQ,300,1892,"vijay nagar, bangalore"
251899,Ice Cream Shop,,225,252,"shivajinagar, bangalore"
251979,"Oki Poki - Sushi, Dimsum & More",,350,34,"indiranagar, bangalore"
252046,Sunath Pizzeria,,200,327,"bommanahalli, bangalore"
252066,Cheese Or Calories, Desserts,200,95,"uttarahalli, bangalore"
252099,Fruit Pulse, Ice Cream,125,4,"hsr, bangalore"
252115,Rumi,,450,1166,"indiranagar, bangalore"
252129,Waffl'd,,200,55,"electronic city, bangalore"
252165,EAT - East Asian Treats, Sichuan,250,3873,"electronic city, bangalore"
252188,The Hyderabad Chefs, Shake,200,1008,"whitefield, bangalore"
252190,Insta Foody's, Juices,100,1,"electronic city, bangalore"
252209,Agarwal's Sweets And Snacks, Mithai,150,565,"bannerghatta road, bangalore"
252210,The Pallet, Beverages,1000,2201,"whitefield, bangalore"
252229,Icy Spicy, Sichuan,200,530,"ejipura, bangalore"
252375,Shamsi's Rolls & Kebabs, Rolls,150,94,"frazer town, bangalore"
252380,The Nosh House, Sandwich,200,11800,"sarjapur road, bangalore"
252418,S M V Snacks Corner,,100,384,"basavanagudi, bangalore"
252441,Shankars Kitchen, Ice Cream,400,2045,"bommasandra, bangalore"
252463,Midnight Cafeteria, Beverages,200,92,"banashankari, bangalore"
252496,Regale Restaurant,,250,824,"marathahalli, bangalore"
252570,Barkaas- Arabic Restaurant, Desserts,550,1677,"marathahalli, bangalore"
252586,Kannur Dhaba, Beverages,250,21,"electronic city, bangalore"
252611,Srinidhi Sagar Deluxe, Sichuan,150,2256,"domlur, bangalore"
252651,Spice Cove - I.V Sanctum,,450,9,"majestic, bangalore"
252694,Canteen Central by EatFit, Wraps,150,0,"kaggadasapura, bangalore"
252695,Shawarma Station,,75,71,"btm, bangalore"
252710,Kebab & Kurry Nation, Desserts,300,25,"hebbal, bangalore"
252825,Treat Restaurant, Ice Cream,250,2330,"hebbal, bangalore"
252827,Families Food Court, Seafood,200,9833,"hsr, bangalore"
252829,Momo Magic Cafe, Sichuan,250,84,"vijay nagar, bangalore"
252917,Shawarma Rolls Cafe, Beverages,150,257,"btm, bangalore"
253017,Bhojanam,,150,1917,"whitefield, bangalore"
253065,Rotti Walla, Fast Food,150,2654,"banaswadi, bangalore"
253084,Taawoon Restaurant, Beverages,500,2415,"hennur, bangalore"
253095,Tandoori Grand,,200,154,"rammurthy nagar, bangalore"
253118,Mayuri Multicuisine Family Restaurant,,375,7290,"kr puram, bangalore"
253119,Royal Biryani Kitchen, Sichuan,150,31300,"btm, bangalore"
253311,Tikka Kebab, Sichuan,300,1893,"bommanahalli, bangalore"
253446,Burger Bistro,,250,888,"hennur, bangalore"
253494,Maa Reddys Hyderabadi Biryani House, Seafood,300,1087,"sanjay nagar, bangalore"
253527,S Square Family Restaurant, Biryani,400,1612,"bannerghatta road, bangalore"
253554,Krutunga Restaurant, Shake,200,3018,"whitefield, bangalore"
253555,Priyadarshini Grand, Shake,150,27600,"basaveshwara nagar, bangalore"
253614,Sai Aruna, Sichuan,250,120,"brookefield, bangalore"
253620,Chicken County Deluxe Restaurant, Biryani,300,1254,"majestic, bangalore"
253625,Coal Flame Biriyaani, Mughlai,250,121,"jayanagar, bangalore"
253635,The Rush Restaurant, Beverages,400,382,"hsr, bangalore"
253636,Brothers Burger,,250,705,"btm, bangalore"
253656,Crepito, Street Food,300,617,"rajajinagar, bangalore"
253670,Cafe Iftar, Juices,200,711,"hennur, bangalore"
253676,Recipe,,300,40100,"kumaraswamy layout, bangalore"
253707,Kannur Restaurant, Beverages,250,6154,"kammanahalli, bangalore"
253721,Bitefull, North Indian,100,15,"seshadripuram, bangalore"
253733,Olive - Era, Shake,500,10200,"kumaraswamy layout, bangalore"
253742,Kerala Panoor Restaurant, North Indian,150,22100,"bellandur, bangalore"
253765,The Tandoori Tales, Rolls,300,2089,"whitefield, bangalore"
253786,Srinidhi Udupi Upahar,,175,946,"bommasandra, bangalore"
253789,KA 01- Ibis Hotel,,900,19,"ibis hotel, richmond road, bangalore"
253854,Lulu Hypermarket, Bakery,225,1727,"rajajinagar, bangalore"
253939,Mitti Cafe, Desserts,100,480,"peenya, bangalore"
253940,Mitti Cafe, Desserts,250,480,"peenya, bangalore"
254064,Burma Burma,,750,1447,"indiranagar, bangalore"
254105,Swad Kolhapuri,,200,221,"jp nagar, bangalore"
254200,Riches Pizza Burger,,150,443,"peenya, bangalore"
254222,Hari'r Kotha,,100,36,"wilson garden, bangalore"
254287,Windmills Craftworks,,1400,1004,"windmills craftworks, bangalore"
254399,SSR Hotel,,250,23,"brookefield, bangalore"
254418,Royal Lunch Home,,100,43,"koramangala 2nd block, bangalore"
254449,Ayodhya Vihar Pure Veg, Juices,225,7188,"jeevan bhima nagar, bangalore"
254466,Fish & Fries Restaurant, Biryani,300,8961,"hsr, bangalore"
254468,Kesar Sweet Shop & Restaurant,,250,839,"sarjapur road, bangalore"
254502,Srinathji's, Beverages,400,2452,"indiranagar, bangalore"
254523,Chavadi, Seafood,700,715,"bannerghatta road, bangalore"
254529,Vandana Gardenia, Biryani,500,247,"sahakara nagar, bangalore"
254545,The Crowne Plaza, Sichuan,150,214,"electronic city, bangalore"
254650,Cheese Street,,150,16,"electronic city, bangalore"
254747,Sea Spoon - Costal Cuisine,,200,106,"btm, bangalore"
254871,Rajhans,,150,839,"st. marks road, bangalore"
254882,New Malabar Hotel, Rolls,200,2785,"new bel road, bangalore"
254883,GVR Family Restaurant, Street Food,250,7,"nagarbhavi, bangalore"
254935,Nebula, Sichuan,350,21,"galaxy club, brigade gateway, malleshwaram, bangalore"
254936,Kannur Food Kitchen, Shake,250,16800,"btm, bangalore"
254961,Abubakar Siddiq Hotel,,150,325,"malleshwaram, bangalore"
254973,Saarangi Fine Dining, Desserts,450,417,"the royal comfort, bangalore"
254992,Soda Bottle Opener Wala, Beverages,750,1495,"lavelle road, bangalore"
255065,Saltlake, Fast Food,300,682,"btm, bangalore"
255066,Salt - Indian Restaurant Bar & Grill, Desserts,750,52,"ub city, bangalore"
255175,Ragoo's, Desserts,350,718,"jayanagar, bangalore"
255246,Venus Bar And Restaurant,,450,596,"yeshwantpur, bangalore"
255248,Dum Chai, Sandwich,175,27,"bannerghatta road, bangalore"
255296,Juice Joint,,50,18,"sanjay nagar, bangalore"
255297,Wish Meal, Beverages,200,259,"btm, bangalore"
255298,The Illusion Cafe, Sichuan,200,138,"rajajinagar, bangalore"
255327,Plan B,,650,181,"brigade road, bangalore"
255332,Dhe Kerala, Beverages,400,249,"hennur, bangalore"
255447,Hotel Thoranam, Seafood,325,316,"bommanahalli, bangalore"
255471,Singh Da Pind,,150,7520,"hsr, bangalore"
255511,Raaga, Beverages,500,1015,"indiranagar, bangalore"
255559,Mallu Family Restaurant, Shake,175,1973,"btm, bangalore"
255562,Waffle Stories,,150,413,"orion mall, malleshwaram, bangalore"
255575,Shandong,,250,5556,"hennur, bangalore"
255577,Tandoori Zaika,,150,21,"electronic city, bangalore"
255609,Dal Tadkaa, Beverages,400,1140,"banashankari, bangalore"
255637,Ravyaa Kitchen,,125,184,"old airport road, bangalore"
255642,Abhinandana Gardenia, Desserts,300,2294,"jakkur, bangalore"
255643,Paris Restaurant,,175,1122,"yeshwantpur, bangalore"
255658,Brilram's Balaji Bhavan, Shake,250,12800,"whitefield, bangalore"
255720,Savera Lassi Shop,,150,124,"shivajinagar, bangalore"
255836,Andhra Kafe, Ice Cream,500,37,"brookefield, bangalore"
255858,Combo Plates, Biryani,175,66,"bannerghatta road, bangalore"
255869,Dindigul Thalappakatti, Sichuan,450,1986,"banashankari, bangalore"
255870,Dindigul Thalappakatti, Sichuan,300,1986,"banashankari, bangalore"
255883,Dindigul Thalappakatti, Sichuan,350,1986,"banashankari, bangalore"
255916,Zamindar,,400,2060,"kalyan nagar, bangalore"
255920,Latitude - Tulip Inn, Sichuan,650,0,"seshadripuram, bangalore"
255922,RS Shiv Sagar,,300,688,"mg road, bangalore"
255923,RS Shiv Sagar,,150,688,"mg road, bangalore"
256018,Kitty's Corner,,175,1379,"yeshwantpur, bangalore"
256085,Ritomi's Lov,,200,1133,"bellandur, bangalore"
256108,Hotel Nandhin,,450,119,"jayanagar, bangalore"
256174,Roti Ghar, Desserts,150,21600,"basavanagudi, bangalore"
256186,Kaveri Vaibhav Pure Veg, Street Food,250,231,"whitefield, bangalore"
256187,Erivum Puliyum, Biryani,250,10900,"brookefield, bangalore"
256355,Kelvin Scale - Natural Ice Creams &  Waffle,,200,43,"rammurthy nagar, bangalore"
256380,Ashraya Upachar,,225,28600,"kr puram, bangalore"
256470,Byg Cafe,,250,79,"jakkur, bangalore"
256493,Dwarkamai Pure Veg Restaurant, Shake,300,679,"basavanagudi, bangalore"
256547,Cafe Mondo,,300,447,"basavanagudi, bangalore"
256549,Sri Vishnu Park, Desserts,350,22000,"btm, bangalore"
256551,Gold Rush Brews, South Indian,800,15,"kr puram, bangalore"
256586,Thyme & Whisk, Desserts,700,624,"jayanagar, bangalore"
256590,Master Dum Biryani, Kebab,250,68,"bommanahalli, bangalore"
256591,Kuttanad Restaurant,,250,14700,"nagawara, bangalore"
256623,Manasa Fishland,,400,2356,"kalyan nagar, bangalore"
256624,Shuchi Ruchi,,250,7987,"malleshwaram, bangalore"
256714,Nisarga Grand,,125,153,"rt nagar, bangalore"
256739,The Bangalore Dhaba, Desserts,400,154,"kalyan nagar, bangalore"
256797,Auntie Fung's, Korean,300,1491,"indiranagar, bangalore"
256851,Biryani By Kilo,,350,2829,"koramangala 6th block, bangalore"
256852,Biryani By Kilo,,400,2829,"koramangala 6th block, bangalore"
256866,The Kitchen Story,,150,1793,"hsr, bangalore"
256869,Thakkali Kitchen,,150,609,"bommanahalli, bangalore"
256892,Salem Kitchen,,250,147,"brookefield, bangalore"
256896,Potful - Claypot Biryanis,,350,5237,"koramangala 1st block, bangalore"
256915,Bhartiya Jalpan, Desserts,350,2005,"commercial street, bangalore"
256953,EatFit, Chinese,200,1516,"cunningham road, bangalore"
257075,Sri Ruchi Restuarant,,200,6582,"banaswadi, bangalore"
257096,Cheesecakes By CakeZone, Mithai,250,3,"banashankari, bangalore"
257182,FreshMenu, Pasta,250,21900,"bellandur, bangalore"
257206,Truffles, Beverages,450,1945,"new bel road, bangalore"
257207,Truffles, Beverages,200,1945,"new bel road, bangalore"
257246,Desserted, Desserts,375,90,"vasanth nagar, bangalore"
257358,Nandhini Deluxe, Desserts,400,3165,"jayanagar, bangalore"
257359,Nandhini Deluxe, Desserts,250,3165,"jayanagar, bangalore"
257360,Nandhini Deluxe, Desserts,600,3165,"jayanagar, bangalore"
257377,Glen's Bakehouse, Desserts,400,2343,"sanjay nagar, bangalore"
257428,Ninan's Steak House, Pasta,200,33,"bommanahalli, bangalore"
257429,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",,250,3499,"koramangala 5th block, bangalore"
257432,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",,175,3499,"koramangala 5th block, bangalore"
257440,Gullu's Chat,,125,8049,"seshadripuram, bangalore"
257499,Anna Kuteera,,250,10300,"banashankari, bangalore"
257640,Vinaya Royal Inn - Pan Asian Food, Beverages,325,24,"electronic city, bangalore"
257641,Ambur Star Biryani Since 1890,,350,577,"rajarajeshwari nagar, bangalore"
257715,Indulge Desi, Rolls,200,219,"jp nagar, bangalore"
257732,Krishnam Udupi Hotel, Beverages,250,2796,"kanakapura road, bangalore"
257763,Udupi Upahar, Shake,200,3202,"kanakapura road, bangalore"
257764,Udupi Upahar, Shake,175,3202,"kanakapura road, bangalore"
257765,Udupi Upahar, Shake,50,3202,"kanakapura road, bangalore"
257776,A2B - Adyar Ananda Bhavan, Desserts,250,7333,"hsr, bangalore"
257777,A2B - Adyar Ananda Bhavan, Desserts,150,7333,"hsr, bangalore"
257805,Gully Foods,,150,12,"btm, bangalore"
257808,Magic Chef Restaurant,,250,135,"btm, bangalore"
257836,Meat & Eat, Desserts,150,707,"jp nagar, bangalore"
257837,Hotel Chandrika, Desserts,350,1484,"cunningham road, bangalore"
257885,SLV Corner Restaurant,,400,11400,"153 biere street, bangalore"
258105,Alpha Biryani,,200,1159,"whitefield, bangalore"
258212,Blue Tokai Coffee Roasters, Burger,300,758,"koramangala 8th block, bangalore"
258343,Ipsha's Kitchen, Wraps,200,193,"rajajinagar, bangalore"
