,Restaurant,Cusines_all,price_for_one,delivery_review_number,location
236526,Orange Leaf Resturant, Fast Food,300,205,"nagawara, bangalore"
236587,Nandhana Palace,,300,2955,"whitefield, bangalore"
236588,Nandhana Palace,,400,2955,"whitefield, bangalore"
236606,The Light House Restaurant,,350,1017,"new bel road, bangalore"
236628,Caffe Pascucci, Beverages,400,555,"jp nagar, bangalore"
236659,Kabab Paradise, Sichuan,200,290,"vijay nagar, bangalore"
236681,Juice Day,,75,1130,"kalyan nagar, bangalore"
236692,A M Biryani Hotel,,150,707,"bannerghatta road, bangalore"
236719,Zoey's, Beverages,300,3626,"sarjapur road, bangalore"
236761,Biryani Pot, Wraps,250,57100,"btm, bangalore"
236762,Biryani Pot, Wraps,200,57100,"btm, bangalore"
236899,Meat And Eat, Beverages,200,261,"banashankari, bangalore"
236905,Meat And Eat, Beverages,225,261,"banashankari, bangalore"
236907,Rich Grills Restaurant, Ice Cream,400,285,"yeshwantpur, bangalore"
236917,Mayura 1989,,550,1238,"rajajinagar, bangalore"
236969,Shiv Sagar Signature, Sichuan,250,1475,"jp nagar, bangalore"
236995,Potteery Nine Cafe,,600,112,"hebbal, bangalore"
237005,Simply Indian, Mangalorean,400,3615,"bannerghatta road, bangalore"
237006,New Green Gardenia, Desserts,500,1091,"rammurthy nagar, bangalore"
237061,Jam's Kitchen, Beverages,150,365,"rajajinagar, bangalore"
237067,Savi Ruchi, Beverages,150,617,"bommanahalli, bangalore"
237161,Parijatha Fish Land, Seafood,200,2799,"jalahalli, bangalore"
237162,Sunshine Restaurant, Sichuan,250,1781,"whitefield, bangalore"
237170,Donne Biriyani Hub, Beverages,150,248,"domlur, bangalore"
237260,Café Kaffea, Beverages,350,2363,"vijay nagar, bangalore"
237261,Login 2 Eat, Kebab,275,152,"koramangala 4th block, bangalore"
237354,Cardamom- Ghar Ka Swad, Sichuan,200,619,"btm, bangalore"
237386,Hakuna Matata, Fast Food,700,2532,"jp nagar, bangalore"
