Restaurant,Cusines_all,price_for_one,delivery_review_number,location
Ayodhya Vihar Pure Veg, Chinese,225,7188,"jeevan bhima nagar, bangalore"
Mr. Tea, Kerala,100,307,"btm, bangalore"
Ooty Chocolates,,150,339,"indiranagar, bangalore"
Shawarma House,,150,601,"brookefield, bangalore"
Fish & Fries Restaurant, Goan,300,8961,"hsr, bangalore"
Punjab Ki Rasoi, Mughlai,250,1530,"electronic city, bangalore"
Kesar Sweet Shop & Restaurant, North Indian,250,839,"sarjapur road, bangalore"
Tandoori Knight, Chinese,225,4268,"banashankari, bangalore"
Sanje Time, Chinese,100,10,"hsr, bangalore"
Tandoori Tadka, Biryani,300,11,"electronic city, bangalore"
Srinathji's, Chinese,400,2452,"indiranagar, bangalore"
Kheer Kadamb  Bengali Sweets, Mithai,50,151,"marathahalli, bangalore"
Chavadi, Mangalorean,700,715,"bannerghatta road, bangalore"
Vandana Gardenia, North Indian,500,247,"sahakara nagar, bangalore"
The Crowne Plaza, North Indian,150,214,"electronic city, bangalore"
Winners Pizza - Fresh Dough, Italian,300,147,"rajarajeshwari nagar, bangalore"
Apna Dhaba, Chinese,150,179,"basavanagudi, bangalore"
Desserts By What The Ale?!, Desserts,300,47,"electronic city, bangalore"
Urban Desi Pendu, Fast Food,75,61,"electronic city, bangalore"
FoodX Restaurant, South Indian,150,100,"vasanth nagar, bangalore"
Halli Mane Badoota Hotel - Nati Style, Mughlai,150,3516,"electronic city, bangalore"
TrueCakes,,100,1140,"marathahalli, bangalore"
TrueCakes,,150,1140,"marathahalli, bangalore"
Cheese Street, Burger,150,16,"electronic city, bangalore"
Burger & Pizza Junction, Sandwich,100,33,"basaveshwara nagar, bangalore"
A.S Desouza Fruit Juice, Ice Cream,100,419,"hbr layout, bangalore"
Bangarpet Chats, Chinese,50,333,"vijay nagar, bangalore"
Bangarpet Chats, Chinese,75,333,"vijay nagar, bangalore"
Bangarpet Chats, Chinese,100,333,"vijay nagar, bangalore"
Bangarpet Chats, Chinese,150,333,"vijay nagar, bangalore"
Tomba Kitchens, Chinese,150,1425,"ejipura, bangalore"
Mini Samrat Chalukya, North Indian,150,1301,"vasanth nagar, bangalore"
Sea Spoon - Costal Cuisine, South Indian,200,106,"btm, bangalore"
Paratha Maharaj,,200,22,"thippasandra, bangalore"
Paratha Maharaj,,175,22,"thippasandra, bangalore"
Northwind, North Indian,400,429,"seshadripuram, bangalore"
BLR Biryani House, Chinese,250,18,"bommasandra, bangalore"
Vinu Green Chilli, Rolls,100,1065,"whitefield, bangalore"
Rajhans, Chinese,150,839,"st. marks road, bangalore"
New Malabar Hotel, North Indian,200,2785,"new bel road, bangalore"
GVR Family Restaurant, Mughlai,250,7,"nagarbhavi, bangalore"
Melting Cheese, Sandwich,175,2854,"basavanagudi, bangalore"
Nebula, Chinese,350,21,"galaxy club, brigade gateway, malleshwaram, bangalore"
Kannur Food Kitchen, Biryani,250,16800,"btm, bangalore"
Millet Express, Biryani,150,387,"bellandur, bangalore"
New Paratha Express,,100,420,"brookefield, bangalore"
Lemone, Beverages,150,24,"whitefield, bangalore"
Al Noor, Chinese,175,404,"shivajinagar, bangalore"
Abubakar Siddiq Hotel, Rolls,150,325,"malleshwaram, bangalore"
Twiststick House, Fast Food,200,3875,"basavanagudi, bangalore"
BBQ Street, BBQ,250,157,"bommanahalli, bangalore"
The Hyderabadi Kitchen, South Indian,300,234,"whitefield, bangalore"
Saarangi Fine Dining, Chinese,450,417,"the royal comfort, bangalore"
Soda Bottle Opener Wala, North Indian,750,1495,"lavelle road, bangalore"
Sri Sai Durga 99 Variety Dosa,,100,43,"thippasandra, bangalore"
Donne Biryani Grand, South Indian,150,1175,"electronic city, bangalore"
Burger Blues, Fast Food,250,20,"koramangala 8th block, bangalore"
Goli Vada Pav, Burger,100,65,"yelahanka, bangalore"
Goli Vada Pav, Burger,125,65,"yelahanka, bangalore"
Sanskriti Tiffins, Biryani,150,26,"brookefield, bangalore"
Sri Brindavana Vaibhav, North Indian,100,3055,"hbr layout, bangalore"
Mesa Deli - Svenska Design Hotel, Italian,600,42,"svenska design hotel, electronic city, bangalore"
Saltlake, North Indian,300,682,"btm, bangalore"
Salt - Indian Restaurant Bar & Grill, South Indian,750,52,"ub city, bangalore"
Hokart - Annapoorna Tiffin Center Andhra Style,,125,0,"koramangala 1st block, bangalore"
Mini Punjabi Dhaba,,125,7953,"banashankari, bangalore"
Mandya Sln Donne Biryani,,100,196,"vijay nagar, bangalore"
Sahukar Biryani - Biryani Royal,,250,2740,"koramangala 1st block, bangalore"
Chikpet Donne Biriyani House, Biryani,200,5325,"rajajinagar, bangalore"
Chikpet Donne Biriyani House, Biryani,150,5325,"rajajinagar, bangalore"
Bachelor Zone, Chinese,200,256,"sanjay nagar, bangalore"
Momo Hut, Tibetan,125,1711,"koramangala 5th block, bangalore"
Kolkata Sweets, Street Food,50,78,"kr puram, bangalore"
City Durbar, Chinese,400,2880,"jayanagar, bangalore"
Market Cafe, Chinese,200,2393,"forum neighbourhood mall, whitefield, bangalore"
Shahi Kababs & Rolls, Kebab,100,12,"frazer town, bangalore"
Nisarga Restaurant, North Indian,500,79,"basavanagudi, bangalore"
Ragoo's, North Indian,350,718,"jayanagar, bangalore"
Salena And New Salena Food Center, Biryani,175,3056,"btm, bangalore"
The Pastry House, Desserts,100,770,"wilson garden, bangalore"
The Pastry House, Desserts,200,770,"wilson garden, bangalore"
Mainland Punjab, Biryani,350,6,"electronic city, bangalore"
The Celebration Cakes and Desserts, Desserts,350,41,"malleshwaram, bangalore"
M/S. Harman Da Dhaba, Fast Food,150,412,"bommanahalli, bangalore"
Chikpet Donne Biryani House, South Indian,150,1621,"bommasandra, bangalore"
Patty Bambulati, Burger,150,37,"indiranagar, bangalore"
Venus Bar And Restaurant, Fast Food,450,596,"yeshwantpur, bangalore"
Cafe Kanthari, South Indian,250,2060,"bommanahalli, bangalore"
Dum Chai, Juices,175,27,"bannerghatta road, bangalore"
Just Bake, Street Food,300,74,"banashankari, bangalore"
Just Bake, Street Food,100,74,"banashankari, bangalore"
Just Bake, Street Food,50,74,"banashankari, bangalore"
Just Bake, Street Food,200,74,"banashankari, bangalore"
Just Bake, Street Food,250,74,"banashankari, bangalore"
Juice Joint, Shake,50,18,"sanjay nagar, bangalore"
Wish Meal, Sandwich,200,259,"btm, bangalore"
The Illusion Cafe, Fast Food,200,138,"rajajinagar, bangalore"
Khanna's, Mughlai,350,1713,"brookefield, bangalore"
Khanna's, Mughlai,325,1713,"brookefield, bangalore"
Gyani Da Punjabi Dhaba, Mughlai,250,16700,"btm, bangalore"
Dhe Kerala, North Indian,400,249,"hennur, bangalore"
Shawarma Factor, Lebanese,150,749,"jp nagar, bangalore"
New Calcutta Chat House,,50,8,"marathahalli, bangalore"
Bengali Fun Foods, North Indian,275,16600,"btm, bangalore"
Pizza Palace,,100,1658,"basaveshwara nagar, bangalore"
Pizza Palace,,200,1658,"basaveshwara nagar, bangalore"
Belli Shree Bangarpet Chats,,75,271,"bannerghatta road, bangalore"
Hunger Treats, Rolls,150,4942,"bannerghatta road, bangalore"
Flavors Of North, Biryani,300,14000,"new bel road, bangalore"
Hotel Thoranam, Andhra,325,316,"bommanahalli, bangalore"
Hotel Aasare, Kerala,200,2249,"yeshwantpur, bangalore"
Sweet Bake - Cake & Desserts, Shake,300,543,"kammanahalli, bangalore"
Star Ambur Biryani, Biryani,125,135,"rammurthy nagar, bangalore"
Singh Da Pind, Chinese,150,7520,"hsr, bangalore"
Raaga, Mughlai,500,1015,"indiranagar, bangalore"
Sargam Sweets, Street Food,100,492,"marathahalli, bangalore"
Chole Bhature And Parathas,,250,2028,"rajajinagar, bangalore"
GK Chats & Snacks, Pizza,100,73,"basaveshwara nagar, bangalore"
Chung's Kitchen, Thai,250,1831,"sahakara nagar, bangalore"
Jai's Biriyani Mane,,150,17,"whitefield, bangalore"
Donne Biryani Kuteera, South Indian,200,8585,"banaswadi, bangalore"
Mallu Family Restaurant, Biryani,175,1973,"btm, bangalore"
Uttara Karnataka Jolada Rotti Mattu Chapati Angadi, Mithai,50,399,"seshadripuram, bangalore"
Uttara Karnataka Jolada Rotti Mattu Chapati Angadi, Mithai,100,399,"seshadripuram, bangalore"
Waffle Stories, Ice Cream,150,413,"orion mall, malleshwaram, bangalore"
Shandong, Momos,250,5556,"hennur, bangalore"
Kerala Tiffin, Seafood,100,10000,"itpl main road, whitefield, bangalore"
Tandoori Zaika, Fast Food,150,21,"electronic city, bangalore"
Dal Tadkaa, Rajasthani,400,1140,"banashankari, bangalore"
Cravisthan,,150,4434,"domlur, bangalore"
Shree Madhvas Upahara,,75,462,"jp nagar, bangalore"
Ravyaa Kitchen, Chinese,125,184,"old airport road, bangalore"
Barbecue By Punjab Grill, BBQ,600,321,"mantri square, malleshwaram, bangalore"
Gully Grill, Rolls,100,17,"richmond town, bangalore"
Abhinandana Gardenia, North Indian,300,2294,"jakkur, bangalore"
Paris Restaurant, Chinese,175,1122,"yeshwantpur, bangalore"
Sanidhya Veg Hotel, South Indian,50,70,"shanti nagar, bangalore"
Brilram's Balaji Bhavan, North Indian,250,12800,"whitefield, bangalore"
Pulimunchi, Seafood,500,603,"sadashiv nagar, bangalore"
Le Gateau - The Cake Shop,,200,5007,"domlur, bangalore"
Baisakhi, Beverages,450,3827,"basavanagudi, bangalore"
Savera Lassi Shop, Desserts,150,124,"shivajinagar, bangalore"
Pizza Republic, Fast Food,275,6075,"bommasandra, bangalore"
Biriyanzy, Chinese,250,129,"bommanahalli, bangalore"
Kolkata Famous Kati Rolls Shop,,100,1260,"kalyan nagar, bangalore"
22 Se Srabon, North Indian,300,241,"new bel road, bangalore"
Dash Of Delite, Chinese,300,209,"electronic city, bangalore"
Andhra Kafe, South Indian,500,37,"brookefield, bangalore"
Fusion Bytez,,150,84,"sahakara nagar, bangalore"
Combo Plates, Chinese,175,66,"bannerghatta road, bangalore"
Dindigul Thalappakatti, BBQ,450,1986,"banashankari, bangalore"
Dindigul Thalappakatti, BBQ,300,1986,"banashankari, bangalore"
Dindigul Thalappakatti, BBQ,350,1986,"banashankari, bangalore"
B Witchd, Continental,300,1,"kalyan nagar, bangalore"
Zamindar, Mughlai,400,2060,"kalyan nagar, bangalore"
Latitude - Tulip Inn, Chinese,650,0,"seshadripuram, bangalore"
Gowdru Baduta, Biryani,200,984,"kanakapura road, bangalore"
RS Shiv Sagar, North Indian,300,688,"mg road, bangalore"
RS Shiv Sagar, North Indian,150,688,"mg road, bangalore"
Rasoi, Chinese,150,1680,"banashankari, bangalore"
Andhra Bhojanam, North Indian,250,7142,"btm, bangalore"
Speed Wrap, Shake,200,1,"frazer town, bangalore"
Dal-icious, Biryani,150,1626,"btm, bangalore"
The Chatpata  Affair, Fast Food,75,85,"kaggadasapura, bangalore"
Chinese Cloud, Fast Food,200,208,"jp nagar, bangalore"
ScoopsVille, Fast Food,100,12,"itpl main road, whitefield, bangalore"
Avon Pizza,,200,81,"marathahalli, bangalore"
Kitty's Corner, Burger,175,1379,"yeshwantpur, bangalore"
The Bawarchi, Chinese,250,3267,"itpl main road, whitefield, bangalore"
The Bawarchi, Chinese,450,3267,"itpl main road, whitefield, bangalore"
Bowlss Of Bliss, Ice Cream,250,29,"bannerghatta road, bangalore"
Nagarjuna Chimney, Biryani,400,1786,"jayanagar, bangalore"
SGS Non Veg - Gundu Pulav, Kebab,250,1115,"jayanagar, bangalore"
G 's Chinese Dragon, Momos,150,1395,"seshadripuram, bangalore"
Wok Chow, Thai,150,20400,"new bel road, bangalore"
Bhojanashala,,150,100,"broadway building, whitefield, bangalore"
Aapni Rasoi, Chinese,200,4141,"bellandur, bangalore"
Sabari Juice Junction, Sandwich,100,3866,"jeevan bhima nagar, bangalore"
Ritomi's Lov, Street Food,200,1133,"bellandur, bangalore"
Pathaan Sir, Momos,150,12700,"koramangala 7th block, bangalore"
Pathaan Sir, Momos,250,12700,"koramangala 7th block, bangalore"
Hotel Nandhin, North Indian,450,119,"jayanagar, bangalore"
Food Bazaar, North Indian,150,0,"electronic city, bangalore"
Jai Maruthi 99 Vareity Dosa Corner,,100,27,"bannerghatta road, bangalore"
Roti Ghar, Chinese,150,21600,"basavanagudi, bangalore"
Kaveri Vaibhav Pure Veg, Fast Food,250,231,"whitefield, bangalore"
Erivum Puliyum, North Indian,250,10900,"brookefield, bangalore"
Delhi Dhaba, Chinese,100,272,"rt nagar, bangalore"
Kolkata Famous Kati Roll, Rolls,100,800,"banashankari, bangalore"
Kolkata Famous Kati Roll, Rolls,125,800,"banashankari, bangalore"
Kolkata Famous Kati Roll, Rolls,75,800,"banashankari, bangalore"
The Chef's Hand, Chinese,250,70,"rammurthy nagar, bangalore"
Wow Marathi, Street Food,100,929,"electronic city, bangalore"
Kesar Sweet Shop & Fast Food,,200,3388,"brookefield, bangalore"
Gowda's Aramane, Mughlai,125,142,"vijay nagar, bangalore"
Kelvin Scale - Natural Ice Creams &  Waffle, Ice Cream,200,43,"rammurthy nagar, bangalore"
Pani Puri Time, Fast Food,100,33,"banashankari, bangalore"
Nidhi Grand, North Indian,200,0,"sahakara nagar, bangalore"
Kajal Home Foods, Chinese,100,11,"jalahalli, bangalore"
Five Star New Ambur Biryani, Fast Food,175,15000,"btm, bangalore"
KFDC Mathsya Darshini, Seafood,200,97,"rajajinagar, bangalore"
Mr.Momo Man,,100,3,"basavanagudi, bangalore"
Ambur Hot Dum Biriyani, South Indian,150,18,"bommanahalli, bangalore"
Ambur Hot Dum Biriyani, South Indian,125,18,"bommanahalli, bangalore"
BMD Burgers-Melts-Dogs, Sandwich,250,62,"cunningham road, bangalore"
Tava Say, Sandwich,100,94,"whitefield, bangalore"
Cake Studio,,150,76,"electronic city, bangalore"
Ashraya Upachar, North Indian,225,28600,"kr puram, bangalore"
Cremee Fresh Cakes n' Snacks,,175,191,"kaggadasapura, bangalore"
Paratha Corner, Street Food,100,3014,"cv raman nagar, bangalore"
Letoh,,50,290,"marathahalli, bangalore"
Delite Chaat House, Gujarati,150,3641,"sarjapur road, bangalore"
Ambur Dum Biriyani, South Indian,100,2465,"bellandur, bangalore"
Ambur Dum Biriyani, South Indian,50,2465,"bellandur, bangalore"
Chaat Cafe, North Indian,100,107,"whitefield, bangalore"
Sri Anjaneya Tiffin And Curries, Chinese,100,782,"marathahalli, bangalore"
Basaweshwara Khanavali,,100,320,"bommanahalli, bangalore"
Byg Cafe, North Indian,250,79,"jakkur, bangalore"
New Udupi Upahara, Chinese,50,886,"jalahalli, bangalore"
Basant Mess, Chinese,100,300,"nagawara, bangalore"
Dwarkamai Pure Veg Restaurant, Chinese,300,679,"basavanagudi, bangalore"
ZAZA 22 Spice Awadhi Biryani, North Indian,250,270,"sarjapur road, bangalore"
Element3, North Indian,250,295,"whitefield, bangalore"
Northern Bhatti Restaurant, North Indian,100,370,"electronic city, bangalore"
Kedia's Fun Food, Street Food,50,13100,"jayanagar, bangalore"
Seheru's Kitchen, North Indian,200,810,"whitefield, bangalore"
Cafe Mondo, Italian,300,447,"basavanagudi, bangalore"
Kabab Magic Roll, Fast Food,150,1138,"richmond road, bangalore"
Sri Vishnu Park, North Indian,350,22000,"btm, bangalore"
Amrutha Hyderabadi Biriyani, Chinese,350,216,"rammurthy nagar, bangalore"
Gold Rush Brews, Italian,800,15,"kr puram, bangalore"
Paratha Parliament,,50,0,"kumaraswamy layout, bangalore"
Thyme & Whisk, North Indian,700,624,"jayanagar, bangalore"
Rampyari Chaiwala Netaji Bhajiawala, North Indian,50,2123,"btm, bangalore"
Rampyari Chaiwala Netaji Bhajiawala, North Indian,75,2123,"btm, bangalore"
BIB - Breakfast in the Box,,200,2354,"electronic city, bangalore"
Master Dum Biryani, South Indian,250,68,"bommanahalli, bangalore"
Kuttanad Restaurant, South Indian,250,14700,"nagawara, bangalore"
Gokul Veg, North Indian,400,4252,"basavanagudi, bangalore"
Gokul Veg, North Indian,250,4252,"basavanagudi, bangalore"
Darjeeling Hot Momos,,150,763,"btm, bangalore"
46 Ounces Brewgarden, Continental,800,457,"electronic city, bangalore"
Manasa Fishland, Chinese,400,2356,"kalyan nagar, bangalore"
Shuchi Ruchi, North Indian,250,7987,"malleshwaram, bangalore"
Brooklyn Fried Chicken, Shake,150,24,"koramangala 6th block, bangalore"
Kulfi Shulfi- Kulfis and Ice Cream, Street Food,100,41,"btm, bangalore"
Kulfi Shulfi- Kulfis and Ice Cream, Street Food,75,41,"btm, bangalore"
Anjan Bhel Corner,,50,144,"banashankari, bangalore"
Sweet Zone, Street Food,100,81,"yeshwantpur, bangalore"
Egg Time, Momos,250,167,"malleshwaram, bangalore"
Street 8, Burger,125,32,"kumaraswamy layout, bangalore"
OOttupura, South Indian,150,2931,"btm, bangalore"
JK Fish Land, Seafood,175,831,"jayanagar, bangalore"
Nisarga Grand, Chinese,125,153,"rt nagar, bangalore"
The Bangalore Dhaba, Italian,400,154,"kalyan nagar, bangalore"
RRB Ambur Hot Dum Biriyani, Kebab,150,112,"rt nagar, bangalore"
Wrap It,,250,109,"whitefield, bangalore"
Itminaan Matka Biryani - Slow Cooked, Desserts,250,64,"ulsoor, bangalore"
Itminaan Matka Biryani - Slow Cooked, Desserts,350,64,"ulsoor, bangalore"
Chicking, Pizza,200,622,"rajajinagar, bangalore"
Ludos Pizza, Desserts,300,152,"marathahalli, bangalore"
Auntie Fung's, Vietnamese,300,1491,"indiranagar, bangalore"
Burgers And Shakes, Fast Food,100,18,"indiranagar, bangalore"
Chikmagalur Coffee Thindi Mane,,75,1390,"bommasandra, bangalore"
Kurtosshhh, Beverages,250,340,"whitefield, bangalore"
Laali Da Dhaba,,250,49,"indiranagar, bangalore"
WOW! Momo, Tibetan,200,405,"magadi road, bangalore"
Toastymos, Beverages,150,5,"city market, bangalore"
Dot.yum - Aloft Hotel, BBQ,1000,11,"aloft hotel, whitefield, bangalore"
Pot Biryani, Biryani,200,734,"nagawara, bangalore"
Pot Biryani, Biryani,225,734,"nagawara, bangalore"
Biryani By Kilo, North Indian,350,2829,"koramangala 6th block, bangalore"
Biryani By Kilo, North Indian,400,2829,"koramangala 6th block, bangalore"
Kapoor's Cafe, Desserts,350,4088,"kalyan nagar, bangalore"
The Kitchen Story, Fast Food,150,1793,"hsr, bangalore"
Happy Platter, Rolls,200,2560,"rajajinagar, bangalore"
That Bangalore Place,,150,4037,"itpl main road, whitefield, bangalore"
Thakkali Kitchen, North Indian,150,609,"bommanahalli, bangalore"
Kalpataru Hotel, Biryani,150,3,"bannerghatta road, bangalore"
New Guru Nalapaka, Chinese,150,377,"kr puram, bangalore"
Lassi Shop, Burger,175,6,"btm, bangalore"
Lassi Shop, Burger,100,6,"btm, bangalore"
Lassi Shop, Burger,150,6,"btm, bangalore"
Lassi Shop, Burger,125,6,"btm, bangalore"
Salem Kitchen, South Indian,250,147,"brookefield, bangalore"
A1 Chicken Biryani Point,,150,1,"rt nagar, bangalore"
Hiyar Majhe Kolkata, Chinese,150,3758,"electronic city, bangalore"
Hiyar Majhe Kolkata, Chinese,250,3758,"electronic city, bangalore"
Potful - Claypot Biryanis, Mughlai,350,5237,"koramangala 1st block, bangalore"
Hakka Box, Momos,250,328,"hebbal, bangalore"
Cake Bite, Fast Food,200,341,"jayanagar, bangalore"
Cake Bite, Fast Food,150,341,"jayanagar, bangalore"
Aarya Home Made, South Indian,200,0,"marathahalli, bangalore"
Sanchez, Beverages,1100,278,"ub city, bangalore"
Sardar Ji Ka Dhaba,,300,0,"marathahalli, bangalore"
Cake Boutique,,400,0,"jalahalli, bangalore"
Veruthe Oru Thattukada,,150,2861,"bannerghatta road, bangalore"
Bhartiya Jalpan, Rajasthani,350,2005,"commercial street, bangalore"
Champaran Meat House,,150,1476,"hsr, bangalore"
Kwality Wall’s Frozen Dessert And Ice Cream Shop,,100,301,"marathahalli, bangalore"
The Masala Bay Leaf,,150,50,"kalyan nagar, bangalore"
Slurpy Shakes, Fast Food,200,678,"kalyan nagar, bangalore"
Slurpy Shakes, Fast Food,250,678,"kalyan nagar, bangalore"
EatFit, Pizza,200,1516,"cunningham road, bangalore"
Chai Point, Fast Food,200,3916,"banashankari, bangalore"
Chai Point, Fast Food,275,3916,"banashankari, bangalore"
Chai Point, Fast Food,150,3916,"banashankari, bangalore"
Chai Point, Fast Food,125,3916,"banashankari, bangalore"
EasyBites by Empire, Beverages,100,1787,"koramangala 5th block, bangalore"
EasyBites by Empire, Beverages,200,1787,"koramangala 5th block, bangalore"
Kanti Sweets,,50,3154,"indiranagar, bangalore"
Kanti Sweets,,200,3154,"indiranagar, bangalore"
Kanti Sweets,,225,3154,"indiranagar, bangalore"
Patiala NH 44, Beverages,400,746,"basavanagudi, bangalore"
Biryani Trip - Destination Hyderabad, Hyderabadi,300,2429,"koramangala 6th block, bangalore"
Pizza Paradise,,150,43,"jalahalli, bangalore"
Masti Masala, Fast Food,250,5023,"rajajinagar, bangalore"
Burgers@59,,100,54,"whitefield, bangalore"
The Bangalore Bakery, Fast Food,250,27,"malleshwaram, bangalore"
Sri Ruchi Restuarant, North Indian,200,6582,"banaswadi, bangalore"
Shaap,,250,1624,"indiranagar, bangalore"
House Of Juice,,150,225,"varthur main road, whitefield, bangalore"
Rolls On Wheels, Chinese,150,3207,"hsr, bangalore"
New Shiva Sagar,,100,122,"sarjapur road, bangalore"
Srinidhi Upachar, Shake,150,636,"banaswadi, bangalore"
Cheesecakes By CakeZone, Beverages,250,3,"banashankari, bangalore"
Haka,,300,506,"electronic city, bangalore"
MDP Coffee House,,100,3895,"electronic city, bangalore"
MDP Coffee House,,50,3895,"electronic city, bangalore"
Bombay 99 Variety Dosa And Juice,,150,3,"btm, bangalore"
Texas Burgers, Beverages,200,3239,"bommanahalli, bangalore"
Pork@Night, Naga,250,77,"whitefield, bangalore"
Bismillah Hotel, Chinese,200,7,"hsr, bangalore"
Bismillah Hotel, Chinese,100,7,"hsr, bangalore"
California Burrito, Beverages,150,3660,"sigma mall, cunningham road, bangalore"
Drooling Delight Restaurant, Sichuan,150,22,"electronic city, bangalore"
Dande's Hyderabad Biryani, Chinese,200,682,"new bel road, bangalore"
Gudbud, Beverages,150,4220,"ejipura, bangalore"
Chhotu Chai Point, Sandwich,100,38,"banaswadi, bangalore"
Basmati Biriyani Nation, Fast Food,200,8419,"whitefield, bangalore"
KFC, Biryani,200,14400,"marathahalli, bangalore"
KFC, Biryani,250,14400,"marathahalli, bangalore"
Pork Dine Out,,200,104,"whitefield, bangalore"
FreshMenu, Fast Food,250,21900,"bellandur, bangalore"
Mani's Dum Biryani,,375,10800,"koramangala 5th block, bangalore"
Mani's Dum Biryani,,300,10800,"koramangala 5th block, bangalore"
Truffles, Bakery,450,1945,"new bel road, bangalore"
Truffles, Bakery,200,1945,"new bel road, bangalore"
LeanCrust Pizza- ThinCrust Experts, Beverages,400,327,"banashankari, bangalore"
New Krishna Sagar, Beverages,150,23600,"jakkur, bangalore"
New Krishna Sagar, Beverages,275,23600,"jakkur, bangalore"
Saffron Vegetarian Cuisine, Mexican,350,2446,"banaswadi, bangalore"
Desserted, Italian,375,90,"vasanth nagar, bangalore"
Mahadev Sweets & Chaats,,100,928,"hebbal, bangalore"
Yummy Momos, Seafood,150,377,"kaggadasapura, bangalore"
Zomoz - The Momo Company,,200,746,"sarjapur road, bangalore"
Parampara - The Veg Kitchen, Street Food,175,4020,"electronic city, bangalore"
Krispy Kreme,,200,888,"richmond road, bangalore"
Lakshmi Refreshments,,50,16,"electronic city, bangalore"
Donne Biriyani Angadi Mane,,125,3065,"rajajinagar, bangalore"
Domino's Pizza, Desserts,200,1965,"mg road, bangalore"
Express By ABs, BBQ,400,361,"yeshwantpur, bangalore"
Express By ABs, BBQ,200,361,"yeshwantpur, bangalore"
Express By ABs, BBQ,350,361,"yeshwantpur, bangalore"
Swathi Restaurant, Chinese,175,2491,"jp nagar, bangalore"
Swathi Restaurant, Chinese,150,2491,"jp nagar, bangalore"
Hasanamba Benne Dose, Chinese,50,0,"sahakara nagar, bangalore"
Amazing Kati Rolls 'N' More, Street Food,150,1754,"btm, bangalore"
Tandoori Cha,,75,63,"bommasandra, bangalore"
Gilly's Restobar, Bar Food,750,67,"bannerghatta road, bangalore"
Gilly's Restobar, Bar Food,800,67,"bannerghatta road, bangalore"
Gilly's Restobar, Bar Food,725,67,"bannerghatta road, bangalore"
Gilly's Restobar, Bar Food,700,67,"bannerghatta road, bangalore"
Sankalp Reddy Restaurant, Biryani,150,5217,"electronic city, bangalore"
Odia Dine,,150,7382,"old airport road, bangalore"
Momoz, Burger,250,1017,"jeevan bhima nagar, bangalore"
Momoz, Burger,400,1017,"jeevan bhima nagar, bangalore"
Sreeraj Lassi Bar, Ice Cream,150,241,"wilson garden, bangalore"
Sreeraj Lassi Bar, Ice Cream,100,241,"wilson garden, bangalore"
Sreeraj Lassi Bar, Ice Cream,50,241,"wilson garden, bangalore"
Nandhini Deluxe, South Indian,400,3165,"jayanagar, bangalore"
Nandhini Deluxe, South Indian,250,3165,"jayanagar, bangalore"
Nandhini Deluxe, South Indian,600,3165,"jayanagar, bangalore"
Nammura Donne Biriyani,,200,1611,"btm, bangalore"
Nammura Donne Biriyani,,150,1611,"btm, bangalore"
Punjabi Unplugged, Kebab,150,1193,"whitefield, bangalore"
Punjabi Unplugged, Kebab,375,1193,"whitefield, bangalore"
Pizzaaj,,250,298,"indiranagar, bangalore"
Dhanush Miltry Hotel, North Indian,100,15,"magadi road, bangalore"
Glen's Bakehouse, Continental,400,2343,"sanjay nagar, bangalore"
Burger Man, Sandwich,150,227,"yelahanka, bangalore"
Burger Man, Sandwich,100,227,"yelahanka, bangalore"
Diwali Specials By CakeZone - Pure Veg, Waffle,150,25,"btm, bangalore"
Gelatissimo, Beverages,250,31,"kalyan nagar, bangalore"
Burger It Up, Beverages,250,40,"yeshwantpur, bangalore"
Pattegar Donne Biriyani, Rolls,200,246,"vijay nagar, bangalore"
Ninan's Steak House, Fast Food,200,33,"bommanahalli, bangalore"
"Frozen Bottle - Milkshakes, Desserts and Ice Cream", Ice Cream,250,3499,"koramangala 5th block, bangalore"
"Frozen Bottle - Milkshakes, Desserts and Ice Cream", Ice Cream,175,3499,"koramangala 5th block, bangalore"
Gullu's Chat, Sandwich,125,8049,"seshadripuram, bangalore"
Schezwan Hub,,200,268,"electronic city, bangalore"
Donne Biryani House,,150,1706,"btm, bangalore"
Donne Biryani House,,200,1706,"btm, bangalore"
Naati Adda,,225,0,"electronic city, bangalore"
Burgers Kingdom, Pizza,150,1965,"banaswadi, bangalore"
RollsKing, North Indian,200,14,"brookefield, bangalore"
Sathyams Delight,,150,118,"banashankari, bangalore"
Olio - The Wood Fired Pizzeria,,300,32,"kadubeesanahalli, bangalore"
Poha Point, Fast Food,100,1538,"koramangala 6th block, bangalore"
Anna Kuteera, Chinese,250,10300,"banashankari, bangalore"
Jai Maruthi 99 Variety Dosa & Pav Bhaji Corner,,150,3774,"electronic city, bangalore"
Chai Days, Street Food,150,370,"kalyan nagar, bangalore"
IBC (Indian Biryani Company), Mughlai,250,1152,"btm, bangalore"
Basmati Express,,150,327,"kalyan nagar, bangalore"
Chai Bar,,50,110,"old airport road, bangalore"
Sikandar, North Indian,250,242,"mg road, bangalore"
Tandoor Box, Rolls,250,1667,"whitefield, bangalore"
Brik Oven, Fast Food,500,717,"santosh tower, whitefield, bangalore"
Brik Oven, Fast Food,250,717,"santosh tower, whitefield, bangalore"
Hyderabadi Biryani Utsav, North Indian,400,3581,"old madras road, bangalore"
Kwality Wall’s Frozen Dessert and Ice Cream Shop,,100,301,"marathahalli, bangalore"
Kwality Wall’s Frozen Dessert and Ice Cream Shop,,200,301,"marathahalli, bangalore"
The Momo Co., Desserts,250,180,"bommanahalli, bangalore"
