Restaurant,Cusines_all,price_for_one,delivery_review_number,location
The Twenty Handmade Chocolates,Desserts,150,40,"jp nagar, bangalore"
Swathi Restaurant,Mangalorean,175,2491,"jp nagar, bangalore"
Swathi Restaurant,Mangalorean,150,2491,"jp nagar, bangalore"
Bramhin's Homely Foods,South Indian,100,8,"bannerghatta road, bangalore"
Hasanamba Benne Dose,South Indian,50,0,"sahakara nagar, bangalore"
Amazing Kati Rolls 'N' More,Rolls,150,1754,"btm, bangalore"
The Old Champaran Meat House,North Indian,200,394,"bommanahalli, bangalore"
Tandoori Cha,Street Food,75,63,"bommasandra, bangalore"
Gilly's Restobar,North Indian,750,67,"bannerghatta road, bangalore"
Gilly's Restobar,North Indian,800,67,"bannerghatta road, bangalore"
Gilly's Restobar,North Indian,725,67,"bannerghatta road, bangalore"
Gilly's Restobar,North Indian,700,67,"bannerghatta road, bangalore"
Sankalp Reddy Restaurant,South Indian,150,5217,"electronic city, bangalore"
Aliyans Cafe,South Indian,100,527,"peenya, bangalore"
Odia Dine,North Indian,150,7382,"old airport road, bangalore"
Momoz,Chinese,250,1017,"jeevan bhima nagar, bangalore"
Momoz,Chinese,400,1017,"jeevan bhima nagar, bangalore"
Sundae Everyday Ice Creams,Ice Cream,150,229,"brookefield, bangalore"
Sreeraj Lassi Bar,Beverages,150,241,"wilson garden, bangalore"
Sreeraj Lassi Bar,Beverages,100,241,"wilson garden, bangalore"
Sreeraj Lassi Bar,Beverages,50,241,"wilson garden, bangalore"
Nandhini Deluxe,Andhra,400,3165,"jayanagar, bangalore"
Nandhini Deluxe,Andhra,250,3165,"jayanagar, bangalore"
Nandhini Deluxe,Andhra,600,3165,"jayanagar, bangalore"
Nammura Donne Biriyani,Biryani,200,1611,"btm, bangalore"
Nammura Donne Biriyani,Biryani,150,1611,"btm, bangalore"
Punjabi Unplugged,North Indian,150,1193,"whitefield, bangalore"
Punjabi Unplugged,North Indian,375,1193,"whitefield, bangalore"
Pizzaaj,Pizza,250,298,"indiranagar, bangalore"
Dhanush Miltry Hotel,Biryani,100,15,"magadi road, bangalore"
Glen's Bakehouse,Bakery,400,2343,"sanjay nagar, bangalore"
Sri Vinayaka Suger Can Juice Center,Juices,100,21,"electronic city, bangalore"
Burger Man,Burger,150,227,"yelahanka, bangalore"
Burger Man,Burger,100,227,"yelahanka, bangalore"
Diwali Specials By CakeZone - Pure Veg,Bakery,150,25,"btm, bangalore"
Hokart - Mumbai 99 variety Dosa And Pav Bhaji,South Indian,125,0,"kalyan nagar, bangalore"
