,restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link,price_for_one
4073,238,Mad Over Donuts,3.8,"Desserts, Waffle, Beverages",92,Marathahalli,77.6984163,12.9552572,https://www.zomato.com/bangalore/mad-over-donuts-1-marathahalli-bangalore/order,125
4074,1045,Chung's Chinese Corner,4.0,"Chinese, Asian, Seafood, Thai, Sichuan",1239,Jayanagar,77.5824229,12.9292731,https://www.zomato.com/bangalore/chungs-chinese-corner-1-jayanagar/order,500
4075,1119,Bangarpet Chats,0.0,Street Food,3,Yeshwantpur,77.5529215,13.02383,https://www.zomato.com/bangalore/bangarpet-chats-yeshwantpur-bangalore/order,50
4076,726,LunchBox - Meals and Thalis,3.4,North Indian,305,Sarjapur Road,77.6653284,12.920441,https://www.zomato.com/bangalore/lunchbox-meals-and-thalis-1-sarjapur-road-bangalore/order,200
4077,2485,Pablo's,4.1,"Sandwich, Juices",2,KR Puram,77.695935,13.007516,https://www.zomato.com/bangalore/pablos-kr-puram-bangalore/order,100
4078,1874,Donne Biriyanis Junction,3.3,Biryani,236,Electronic City,77.64825296,12.8487599,https://www.zomato.com/bangalore/donne-biriyanis-junction-electronic-city-bangalore/order,250
4079,2,Chicking,3.9,"Fast Food, Burger, Pizza",8925,HSR,77.6398674,12.9092342,https://www.zomato.com/bangalore/chicking-hsr-bangalore/order,200
4080,2486,Just Sandwiches,4.0,"Fast Food, Sandwich, Beverages, Shake",3572,BTM,77.60456543,12.91127585,https://www.zomato.com/bangalore/just-sandwiches-btm/order,125
4081,2487,Meat And Eat,4.1,"Burger, Sandwich, Fast Food, Wraps, Biryani, Beverages, Desserts",261,Banashankari,77.59445195,12.96528325,https://www.zomato.com/bangalore/meat-and-eat-banashankari-bangalore/order,200
4082,2488,Rich Grills Restaurant,3.7,"Street Food, Arabian, North Indian, Mughlai, Seafood, Ice Cream, Desserts, Beverages",285,Yeshwantpur,77.5529215,13.02383,https://www.zomato.com/bangalore/rich-grills-restaurant-yeshwantpur-bangalore/order,400
4083,2489,New Alameen Restaurant,3.5,"Kerala, North Indian, Chinese",9598,Ulsoor,77.6246697,12.9778793,https://www.zomato.com/bangalore/new-alameen-restaurant-ulsoor-bangalore/order,150
4084,727,Kolkata Famous Kati Rolls,3.3,Rolls,488,Jayanagar,77.5824229,12.9292731,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-jayanagar-bangalore/order,100
4085,2490,Whitefield Dum Biriyani,4.3,"Fast Food, Kebab, Biryani",77,Whitefield,77.7497448,12.9696365,https://www.zomato.com/bangalore/whitefield-dum-biriyani-2-whitefield-bangalore/order,200
4086,2491,Mayura 1989,4.0,"Andhra, North Indian, Chinese, Mughlai, Desserts",1238,Rajajinagar,77.554883,12.9882338,https://www.zomato.com/bangalore/mayura-1989-rajajinagar-bangalore/order,550
4087,2492,Food Chemistry By Amruta,3.6,North Indian,38,Sarjapur Road,77.6653284,12.920441,https://www.zomato.com/bangalore/food-chemistry-by-amruta-sarjapur-road-bangalore/order,150
4088,369,Ovenstory Pizza,4.2,"Pizza, Fast Food",5498,Electronic City,77.64825296,12.8487599,https://www.zomato.com/bangalore/ovenstory-pizza-electronic-city/order,300
4089,2493,Delhi Tadka,0.0,"Biryani, North Indian, Mughlai, Street Food",3,Whitefield,77.7497448,12.9696365,https://www.zomato.com/bangalore/delhi-tadka-whitefield-bangalore/order,150
